start	end	F4:HeadMovement	F4:janej	F4:yes	F4:no	F4:word01	F4:Face	F4:pitch	M1:pitch	F4:intensity	M1:intensity	F4:x-pos	F4:y-pos	F4:weight	F4:velocity-r	F4:velocity-clock	F4:velocity-x	F4:velocity-y	F4:acceleration-r	F4:acceleration-clock	F4:acceleration-x	F4:acceleration-y	F4:jerk-r	F4:jerk-clock	F4:jerk-x	F4:jerk-y
26640	26644			0	0	0		531.2088933785179	97.02622170726518	56.02362772003001	52.273162528140126	396.609000	94.783300	0.866358	0.315874	6	0.004017	0.315848	0.018248	6	-0.001035	0.018219	0.007601	12	-0.000037	-0.007601
26644	26648			0	0	0		531.2088933785179	97.02622170726518	50.22644267385613	43.9839525441412	396.575000	94.767200	0.871706	0.265316	6	0.001183	0.265313	0.011278	12	-0.000752	-0.011253	0.008594	12	0.000135	-0.008593
26648	26652			0	0	0		531.2088933785179	97.02622170726518	37.3315179414281	32.93283143798276	396.580000	95.770200	0.866609	0.196914	6	0.001683	0.196907	0.031223	12	-0.000037	-0.031223	0.003568	12	0.000148	-0.003565
26652	26656			0	0	0		531.2088933785179	97.02622170726518	36.99377007187323	32.211955602306794	396.583000	96.742200	0.868849	0.116080	6	0.000567	0.116078	0.023709	12	-0.000160	-0.023709	0.000171	12	0.000035	-0.000168
26656	26660			0	0	0		531.2088933785179	97.02622170726518	37.8564547582351	32.36915657520002	396.581000	97.739700	0.865850	0.166154	6	0.000350	0.166153	0.014492	12	0.000266	-0.014490	0.001460	12	0.000082	-0.001458
26660	26664			0	0	0		531.2088933785179	97.02622170726518	36.796815893970034	31.841663186571875	396.580000	95.774800	0.866534	0.118339	6	0.001950	0.118323	0.045635	12	0.000484	-0.045632	0.001658	6	0.000003	0.001658
26664	26668			0	0	0		531.2088933785179	97.02622170726518	36.10605314452385	31.134372819851595	396.598000	95.749700	0.873405	0.030281	12	0.001967	-0.030217	0.023132	12	0.000157	-0.023132	0.008196	6	-0.000102	0.008195
26668	26672			0	0	0		531.2088933785179	97.02622170726518	37.240863328932974	31.298264003838764	396.599000	95.779600	0.873007	0.046725	12	0.003000	-0.046628	0.011146	6	0.000066	0.011145	0.005425	5	0.002996	0.004523
26672	26676			0	0	0		531.2088933785179	97.02622170726518	37.043666748754916	31.132555525447128	396.588000	96.768400	0.871724	0.002967	4	0.002850	0.000823	0.021676	4	0.016336	0.014248	0.004545	6	-0.000015	0.004544
26676	26680			0	0	0		531.2088933785179	97.02622170726518	37.046930756949614	30.878330784204366	396.586000	96.772200	0.873586	0.092315	5	0.064833	0.065717	0.039145	6	0.006434	0.038613	0.003454	11	-0.001620	-0.003050
