start	end	M6:HeadMovement	M6:janej	M6:yes	M6:no	M6:word01	M6:Face	M6:pitch	F1:pitch	M6:intensity	F1:intensity	M6:x-pos	M6:y-pos	M6:weight	M6:velocity-r	M6:velocity-clock	M6:velocity-x	M6:velocity-y	M6:acceleration-r	M6:acceleration-clock	M6:acceleration-x	M6:acceleration-y	M6:jerk-r	M6:jerk-clock	M6:jerk-x	M6:jerk-y
27904	27912			0	0	1		154.3517215952932	154.56211800935748	48.676672910394785	44.56712202854705	219.627000	87.560200	0.827666	0.104211	4	0.082633	0.063495	0.046475	9	-0.046260	0.004461	0.004576	2	0.004264	-0.001661
27908	27916			0	0	1		162.571167621875	258.403911683909	27.60006128083957	29.925088783160433	219.603000	88.510000	0.830446	0.023467	5	0.016550	0.016637	0.010255	10	-0.008085	-0.006308	0.009849	3	0.009784	-0.001127
27912	27916			0	0	1		162.571167621875	258.403911683909	27.60006128083957	29.925088783160433	219.612000	88.510000	0.829548	0.032740	6	0.000883	0.032728	0.014756	4	0.013237	0.006521	0.006349	3	0.006268	0.001012
27916	27920			0	0	1		162.571167621875	258.403911683909	20.060724904496993	21.834045693355087	219.622000	88.520100	0.834232	0.121931	4	0.112183	0.047772	0.039471	3	0.039462	0.000855	0.003202	2	0.002311	-0.002217
27920	27924			0	0	1		162.571167621875	258.403911683909	20.060724904496993	21.834045693355087	219.628000	88.525300	0.838579	0.158732	4	0.145500	0.063447	0.017448	2	0.016115	-0.006687	0.006115	10	-0.005877	-0.001691
27924	27932			0	0	1		162.571167621875	258.403911683909	43.92045157668338	38.070403637835994	219.604000	88.513300	0.833877	0.163317	3	0.163317	0.000420	0.017973	1	0.005913	-0.016972	0.003916	9	-0.003916	0.000009
27928	27936			0	0	1		116.10089293391812	258.403911683909	39.88883192197071	33.92430431828717	220.586000	88.517800	0.840365	0.162302	3	0.162300	-0.000868	0.005515	9	-0.005512	-0.000206	0.003259	7	-0.000916	0.003128
27932	27936			0	0	1		116.10089293391812	258.403911683909	39.88883192197071	33.92430431828717	220.571000	88.507600	0.827288	0.146772	3	0.146767	-0.001225	0.001195	3	0.001185	0.000149	0.002787	9	-0.002787	0.000044
27936	27940			0	0	1		116.10089293391812	258.403911683909	26.367622578647545	25.451245851118802	220.601000	88.511500	0.841930	0.178800	3	0.178800	-0.000258	0.015493	9	-0.015492	0.000213	0.003020	12	0.000460	-0.002985
27940	27944			0	0	1		116.10089293391812	258.403911683909	26.367622578647545	25.451245851118802	220.597000	88.523300	0.844498	0.115883	3	0.115883	0.000103	0.018157	11	-0.008203	-0.016198	0.003682	1	0.002088	-0.003033
27944	27948			0	0	0		116.10089293391812	258.403911683909	20.26450247485858	20.963507598837193	220.587000	88.502900	0.833035	0.115645	2	0.097300	-0.062502	0.022963	12	-0.001019	-0.022940	0.002833	2	0.002444	-0.001432
27948	27952			0	0	0		116.10089293391812	258.403911683909	21.82943072067037	22.24321776833959	220.604000	88.515100	0.847295	0.168019	2	0.127900	-0.108958	0.024842	1	0.011619	-0.021957	0.003976	5	0.001191	0.003793
27952	27960			0	0	0		116.10089293391812	258.403911683909	21.82943072067037	22.24321776833959	221.553000	88.523600	0.852719	0.200057	2	0.141850	-0.141072	0.003910	3	0.003828	0.000798	0.006353	8	-0.005749	0.002704
27956	27964			0	0	0		116.10089293391812	258.403911683909	16.86393116419382	18.30814582749162	220.604000	88.508900	0.843662	0.170735	2	0.142000	-0.094797	0.021029	9	-0.021010	0.000882	0.007710	8	-0.005660	0.005235
27960	27964			0	0	0		116.10089293391812	258.403911683909	16.86393116419382	18.30814582749162	221.543000	87.575300	0.840339	0.126922	1	0.063167	-0.110087	0.040912	8	-0.035235	0.020791	0.005736	7	-0.003293	0.004697
27964	27972			0	0	0		116.10089293391812	258.403911683909	16.86393116419382	18.30814582749162	221.538000	87.577400	0.837390	0.050737	11	-0.015950	-0.048165	0.049948	8	-0.038631	0.031662	0.002237	6	0.000274	0.002220
27968	27976			0	0	0		116.10089293391812	258.403911683909	16.94474856761196	17.72948398129553	221.545000	87.570200	0.835360	0.095837	9	-0.094683	0.014827	0.046035	7	-0.030795	0.034218	0.003762	2	0.003617	-0.001034
27972	27976			0	0	0		116.10089293391812	258.403911683909	16.94474856761196	17.72948398129553	221.544000	88.506800	0.839837	0.123111	8	-0.094783	0.078565	0.030149	7	-0.011992	0.027661	0.009170	2	0.008207	-0.004092
